Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Hey There Delilah,Plain White T's,"May 9, 2006","Folk-pop, [, 2, ], emo pop, [, 3, ], [, 4, ], emo, [, 5, ]",3:52,", Hollywood, 
, Fearless,",Tom Higgenson,"Jay Bolta, Robert Dimonda, Ariel Rechtshaid, Sean O'Keefe"
Hey Ya!,Outkast,"September 9, 2003 (2003-09-09)","Pop, [, 1, ], electro, funk, hip hop, neo-soul, [, 2, ]",3:55,"Arista, BMG",André Benjamin,André 3000
Hey! Baby,Bruce Channel,December 1961,"Pop, [, 1, ]",2:27,"LeCam, , Smash, , , CBS,  (US)","Margaret Cobb, Bruce Channel","Bruce Channel, Major Bill Smith"
He's a Rebel,the Crystals,August 1962,"Pop, [, 1, ]",2:31,"Philles, 106",Gene Pitney,Phil Spector
He's So Fine,The Chiffons,"January 1963 (US)February 1963 (CAN)March 1963 (UK)April 12, 1963 (AUS)May 1963 (Germany)","Pop, [, 1, ]",1:53,Laurie Records,"Ronald Mack, [, 2, ]","Phil Margo, Mitch Margo, Jay Siegal, and, Hank Medress"
He Will Break Your Heart,Jerry Butler,August 1960,"R&B, [, 1, ]",2:40,Vee-Jay,"Jerry Butler, Calvin Carter, Curtis Mayfield",
Higher Love,Steve Winwood,June 1986,"Soft rock, [, 1, ], [, 2, ], blues rock, [, 3, ], blue-eyed soul, [, 4, ]","5:51 (album version)
4:14 (single version)","Island,  – IS 288","Steve Winwood, Will Jennings","Russ Titelman, Steve Winwood"
Highest in the Room,Travis Scott,"October 4, 2019 (2019-10-04)",Trap,2:55,", Cactus Jack, 
, Grand Hustle, 
, Epic,","Jacques Webster II, Ozan Yildirim, Nik Frascona, Mike Dean","OZ, Nik D, Dean (, co., )"
Hips Don't Lie,"Shakira, Wyclef Jean",14 February 2006 (2006-02-14),"Latin pop, [, 1, ], reggaeton, [, 2, ], salsa, [, 3, ], cumbia, [, 4, ]",3:38,Epic,,"Shakira, Jerry Duplessis, Wyclef Jean"
Hiss (song),Megan Thee Stallion,"January 26, 2024 (2024-01-26)",Hip hop,3:12,Hot Girl,,"LilJuMadeDaBeat, Bankroll Got It, Shawn ""Source"" Jarrett"
Hit the Road Jack,Ray Charles,August 1961[1],"R&B, [, 2, ], [, 3, ]",2:00,ABC-Paramount,Percy Mayfield,Sid Feller
Holding Back the Years,Simply Red,4 November 1985 (1985-11-04)[1]6 May 1986 (1986-05-06) (re-issue)[2],"Sophisti-pop, [, 3, ], soft rock, [, 4, ]","4:28 (album version)
4:04 (single version)",", Elektra, 
, WEA,","Mick Hucknall, Neil Moss",Stewart Levine
Hold It Against Me,Britney Spears,"January 10, 2011 (2011-01-10)",Dance-pop,3:49,Jive,"Max Martin, Lukasz Gottwald, Bonnie McKee","Dr. Luke, Max Martin, Billboard"
Hold On to the Nights,Richard Marx,"May 3, 1988","Soft rock, [, 1, ]",5:12 (album version)  4:34 (LP edit)  4:23 (AC edit),EMI,Richard Marx,"Richard Marx, David Cole"
Hold On (Wilson Phillips song),Wilson Phillips,"February 27, 1990 (1990-02-27)",Pop,"4:27 (album version)
3:42 (single/video version)",SBK,"Carnie Wilson, Chynna Phillips, Glen Ballard",Glen Ballard
Hollaback Girl,Gwen Stefani,"March 22, 2005 (2005-03-22)",Hip hop,3:19,Interscope,"Gwen Stefani, Pharrell Williams, Chad Hugo",The Neptunes
Honey (Bobby Goldsboro song),Bobby Goldsboro,"February 17, 1968[1]",Country,3:55,United Artists,Bobby Russell,Bob Montgomery
Honey (Mariah Carey song),Mariah Carey,"July 29, 1997 (1997-07-29)","R&B, [, 1, ], pop, [, 1, ], hip hop, [, 2, ]",5:00,Columbia,,"Sean ""Puffy"" Combs, The Ummah, Stevie J, Mariah Carey"
Honky Tonk Women,the Rolling Stones,4 July 1969 (1969-07-04),"Hard rock, [, 1, ], rock and roll, [, 2, ]",3:03,", Decca,  (UK), 
, London,  (US),",Jagger–Richards,Jimmy Miller
Hooked on a Feeling,B. J. Thomas,"October 29, 1968","Pop, [, 1, ], psychedelia, [, 2, ]",2:48,Scepter,Mark James,Chips Moman
Hotel California,Eagles,"February 22, 1977[1]","Rock, [, 4, ], [, 5, ]","6:34 (album version)
6:09 (single version)",Asylum,"Don Felder, Don Henley, Glenn Frey",Bill Szymczyk
Hot Child in the City,Nick Gilder,"June 12, 1978","Rock, [, 1, ], power pop, [, 1, ]",3:09 (Single Version)3:35 (Album Version),Chrysalis,"Nick Gilder, James McCulloch",Mike Chapman
Hot in Herre,Nelly,"May 7, 2002 (2002-05-07)",Hip hop,3:49,"Universal, Fo' Reel","Cornell Haynes, Pharrell Williams, Chad Hugo, Charles Brown",The Neptunes
Hot Stuff (Donna Summer song),Donna Summer,"April 13, 1979","Disco, [, 1, ], rock, [, 2, ]",3:47 (radio edit)5:14 (album version)6:46 (extended mix),Casablanca,"Pete Bellotte, Harold Faltermeyer, Keith Forsey","Giorgio Moroder, Pete Bellotte"
How Am I Supposed to Live Without You,Laura Branigan,"July 1, 1983",Pop,4:29,Atlantic,"Michael Bolton, Doug James",Jack White
How Can You Mend a Broken Heart,Bee Gees,28 May 1971,"Pop, [, 1, ], folk rock, [, 2, ], country soul, [, 3, ]",3:57,"Polydor,  , Atco,  , (United States, Canada)","Barry Gibb, Robin Gibb","Robert Stigwood, Bee Gees"
How Deep Is Your Love (Bee Gees song),Bee Gees,September 1977 (US),"Soft rock, [, 1, ]",4:02,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Karl Richardson, Albhy Galuten"
How Do U Want It,"2Pac, K-Ci & JoJo","June 4, 1996","Hip hop, R&B","4:47 (album version)
3:59 (radio edit)",", Death Row, 
, Interscope,","Tupac Shakur, Johnny Jackson, Mr.Dalvin","Johnny ""J"" & Mr. Dalvin"
How Do You Talk to an Angel,The Heights,"September 5, 1992",Pop rock,3:48,Capitol,"Barry Coffing, Steve Tyrell, Stephanie Tyrell",Steve Tyrell
How Will I Know,Whitney Houston,"November 22, 1985 (1985-11-22)","Synth-funk, dance-pop",4:30,Arista,"George Merrill, Shannon Rubicam, Narada Michael Walden",Narada Michael Walden
How You Remind Me,Nickelback,"July 17, 2001 (2001-07-17)","Post-grunge, [, 1, ], alternative rock, [, 2, ], hard rock, [, 3, ]",3:43,Roadrunner,,"Rick Parashar, Nickelback"
Human (The Human League song),the Human League,11 August 1986[1],"Pop soul, [, 2, ], dance, [, 3, ]","4:24 (album version)3:48 (single ""fade-out"" version)",Virgin,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis
Humble (song),Kendrick Lamar,"March 30, 2017","Hip hop, [, 1, ], trap, [, 2, ]",2:57[3],"Top Dawg, Aftermath, Interscope","Kendrick Duckworth, Michael Williams II, Asheton Hogan, [, 4, ], [, 5, ]","Mike Will Made It, Pluss, [, 6, ]"
Hypnotize (The Notorious B.I.G. song),The Notorious B.I.G.,"March 4, 1997 (1997-03-04)","Hip hop, [, 1, ], East Coast hip hop, [, 2, ]","3:49 (album version)
3:59 (CD single)",", Bad Boy, 
, Arista,","Christopher Wallace, Sean Combs, Deric Angelettie, Ron Lawrence, Andy Armer, Randy Alpert","D-Dot, Ron ""Amen-Ra"" Lawrence, Sean ""Puffy"" Combs, (co.)"
Ice Ice Baby,Vanilla Ice,"August 22, 1990",Hip hop,3:46 (radio edit)4:31 (album version),SBK,"Robert Van Winkle, Mario Johnson, [, 1, ], Brian May, David Bowie, Freddie Mercury, John Deacon, Roger Taylor",Vanilla Ice
If I Can't Have You (Bee Gees song),Bee Gees,"13 December 1977 (US)
6 January 1978 (UK)",Disco,3:25,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
If Wishes Came True,Sweet Sensation,June 1990,"Pop rock, [, 1, ], freestyle, [, 2, ]","5:12 (album version)
4:49 (radio edit)",ATCO,"Deena Charles, Robert Steele, Russ DeSalvo",Steve Peck
If You Don't Know Me by Now,Harold Melvin & the Blue Notes,"September 11, 1972[1]","Philadelphia soul, [, 2, ], [, 3, ], R&B",3:27,Philadelphia International Records,"Kenny Gamble, Leon Huff","Kenny Gamble, Leon Huff"
If You Had My Love,Jennifer Lopez,"May 4, 1999","Pop, R&B",4:26,Work,"Rodney Jerkins, LaShawn Daniels, Cory Rooney, Jennifer Lopez, Fred Jerkins III",Rodney Jerkins
If You Leave Me Now,Chicago,"30 July 1976 (US)[1]
24 September 1976 (UK)[2]","Soft rock, [, 3, ], [, 4, ], pop, [, 5, ]",3:58,Columbia,Peter Cetera,James William Guercio
If You Wanna Be Happy,Jimmy Soul,1963,Doo-wop,2:14,"S.P.Q.R./, London Records","Rafael de Leon, Joseph Royster, Carmella Guida, Frank Guida",
Imma Be,the Black Eyed Peas,"June 3, 2009 (original)  January 12, 2010 (as a single)","Hip hop, EDM","4:16 (album version)
3:53 (radio edit)",Interscope,"William Adams, Allan Pineda, Jaime Gomez, Stacy Ferguson, Keith Harris, Thomas Brenneck, Michael Deller, Daniel Foder, Jared Tankel","will.i.am, Keith Harris"
Incense and Peppermints,Strawberry Alarm Clock,"May 19, 1967[1]","Psychedelic pop, [, 2, ], psychedelic rock, [, 3, ], acid rock, [, 4, ]",2:47,UNI,"John S. Carter, Tim Gilbert, (uncredited:, Mark Weitz, Ed King, )",Frank Slay
Incomplete (Sisqó song),Sisqó,"June 13, 2000 (2000-06-13)",,4:35,Def Soul,"Montell Jordan, Anthony ""Shep"" Crawford","Anthony ""Shep"" Crawford"
Independent Women Part I,Destiny's Child,"August 29, 2000 (2000-08-29)",R&B,3:37,Columbia,"Beyoncé Knowles, Samuel Barnes, Cory Rooney, Jean-Claude Olivier","Beyoncé Knowles, Poke and Tone, Cory Rooney"
Indian Reservation (The Lament of the Cherokee Reservation Indian),Don Fardon,August 1968,"Blues, [, 1, ]",3:23,"Pye, GNP Crescendo",John D. Loudermilk,Miki Dallon
Industry Baby,"Lil Nas X, Jack Harlow","July 23, 2021 (2021-07-23)","Trap, pop rap",3:32,Columbia,"Montero Hill, Jackman Harlow, Mark Williams, Raul Cubina, Roy Lenzo, Denzel Baptiste, David Biral, Kanye West, Nick Lee, [, 1, ]","Take a Daytrip, Kanye West"
Informer (song),Snow,August 1992,"Reggae fusion, hip hop, dancehall",4:28,EastWest,"Edmond Leary, Darrin O'Brien, Shawn Moltke, Terri Moltke, Jeffrey Silva (associate writer)",MC Shan
Inside Your Heaven,Carrie Underwood,"June 14, 2005","Country, country pop","3:45 (album version)
4:03 (Greatest Hits: Decade #1 version)",", Arista, 
, 19, 
, S,","Andreas Carlsson, Pelle Nylén, Savan Kotecha",Desmond Child
Invisible Touch (song),Genesis,19 May 1986 (1986-05-19)[1],"Dance-rock, [, 2, ]","3:27 (LP, 7-inch version)
5:58 (12-inch version)",", Charisma, 
, Virgin, 
, Atlantic, 
, Vertigo,","Tony Banks, Phil Collins, Mike Rutherford","Genesis, Hugh Padgham"
In da Club,50 Cent,"January 7, 2003 (2003-01-07)","East Coast hip hop, gangsta rap",3:13 (album version)3:45 (radio version),", Aftermath, 
, Shady, 
, Interscope,","Curtis Jackson, Andre Young, Mike Elizondo","Dr. Dre, Mike Elizondo"
In My Feelings,Drake,"July 10, 2018 (2018-07-10)","Hip hop, Bounce",3:37,", Young Money, 
, Cash Money, 
, Republic,","Aubrey Graham, Benny Workman, Darius Harrison, Nick Kobe, Caresha Brownlee, Jatavia Johnson, Stephen Garrett, James Scheffer, Rex Zamor, Dwayne Carter, Jr., Ibra Ake, Renetta Lowe-Bridgewater, Orville Hall, Phillip Price, Noah Shebib","TrapMoneyBenny, Blaqnmild"
In the Year 2525,Zager and Evans,1969 (Truth label)April 1969 (RCA label)[1],"Psychedelic rock, [, 2, ], folk rock, [, 3, ]",3:10 (Truth label)3:15 (RCA label),"Truth; , RCA Victor",Rick Evans,Zager and Evans
Irreplaceable,Beyoncé,"October 23, 2006 (2006-10-23)","Pop, R&B",3:47,Columbia,,"Beyoncé Knowles, Stargate, Ne-Yo"
Islands in the Stream (song),"Kenny Rogers, Dolly Parton","August 15, 1983","Soft rock, [, 1, ]",4:08,RCA Records,"Barry Gibb, Robin Gibb, Maurice Gibb",Gibb-Galuten-Richardson
Island Girl,Elton John,29 September 1975 (1975-09-29),"Reggae, [, 1, ]",3:42,"MCA,  (US), DJM,  (UK)","Elton John, Bernie Taupin",Gus Dudgeon
Isn't It a Pity,George Harrison,23 November 1970,Folk rock,7:10,Apple,George Harrison,"George Harrison, Phil Spector"
Is It Over Now?,Taylor Swift,"October 31, 2023 (2023-10-31)",Electropop,3:49,Republic,"Taylor Swift, Jack Antonoff","Taylor Swift, Jack Antonoff"
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,June 1960,"Novelty, [, 1, ], pop, [, 2, ]",2:19,"Leader/, Kapp","Paul Vance, Lee Pockriss",
It Must Have Been Love,Roxette,2 December 1987,"Soft rock, [, 1, ], pop, [, 1, ]",4:48,EMI,Per Gessle,Clarence Öfwerman
It's All in the Game (song),,,,,,,
It's Gonna Be Me,NSYNC,"June 13, 2000",Pop,3:11,Jive,"Max Martin, Andreas Carlsson, Rami",Rami
It's My Party,Lesley Gore,"April 5, 1963","Pop, [, 1, ]",2:19,Mercury,"Walter Gold, John Gluck Jr., Herb Weiner, Seymour Gottlieb",Quincy Jones
It's Now or Never (song),Elvis Presley,"July 5, 1960","Pop, [, 1, ], [, 2, ]",3:15,RCA Victor,"Wally Gold, Aaron Schroeder, Eduardo di Capua",
It's Only Make Believe,Conway Twitty,"July 14, 1958","Rock and roll, [, 2, ], rockabilly, [, 3, ]",2:10,MGM,"Jack Nance, Conway Twitty",Jim Vienneau
It's Still Rock and Roll to Me,Billy Joel,"May 12, 1980","New wave, [, 1, ], [, 2, ], doo-wop, [, 3, ], rock, [, 4, ], rockabilly, [, 5, ], pop rock, [, 6, ]",2:57,Columbia,Billy Joel,Phil Ramone
It's Too Late (Carole King song),Carole King,"April 16, 1971","Pop, [, 1, ], soft rock, [, 2, ], jazz, [, 3, ]",3:51,Ode,,Lou Adler
It Wasn't Me,Shaggy,7 November 2000 (2000-11-07),"Reggae, [, 1, ]",3:47,MCA,"Orville Burrell, Rickardo Ducent, Shaun Pizzonia, Brian Thompson","Shaun ""Sting"" Pizzonia"
I Adore Mi Amor,Color Me Badd,"July 11, 1991 (1991-07-11)",R&B,4:49,Giant,"Hamza Lee, Color Me Badd","Hamza Lee, Royal Bayyan"
I Am Woman,Helen Reddy,May 1972,"Pop, soft rock",3:24,Capitol,"Ray Burton, Helen Reddy",Jay Senter
I Believe (Fantasia song),Fantasia,"June 15, 2004 (2004-06-15)",,5:02,", J, 
, 19, 
, S,","Tamyra Gray, Sam Watters, Louis Biancaniello","Louis Biancaniello, Sam Watters"
I Can Help,Billy Swan,July 1974[1],"Rockabilly, [, 3, ], country",2:58 (single edit)4:01 (album version),Monument,Billy Swan,"Chip Young, and Billy Swan"
I Can See Clearly Now,Johnny Nash,"June 23, 1972","Reggae, soul, R&B",2:45,Epic,Johnny Nash,Johnny Nash
I Can't Get Next to You,the Temptations,"July 30, 1969","Funk, psychedelic soul",2:51,"Gordy, G 7093","Norman Whitfield, Barrett Strong",Norman Whitfield
I Can't Go for That (No Can Do),Daryl Hall & John Oates,November 1981,"Synth-pop, [, 1, ], soft rock, [, 2, ]","5:09 (album version)
4:14 (video edit)
3:45 (single edit)
6:05 (extended club mix)",RCA,"Sara Allen, Daryl Hall, John Oates",Hall & Oates
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,"April 23, 1965","Soul, pop",2:46,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier, Eddie Holland"
I Can't Stop Loving You,Don Gibson,December 1957 (1957-12),Country,2:37,RCA Victor,Don Gibson,Chet Atkins
I Don't Have the Heart,James Ingram,"August 25, 1990","Pop, R&B",4:14 (album version)4:35 (music video version),Warner Bros.,"Allan Rich, Jud Friedman","Thom Bell, James Ingram"
I Don't Wanna Cry,Mariah Carey,March 1991,Pop,"4:47 (album)
4:25 (edit)",Columbia,"Mariah Carey, Narada Michael Walden",Narada Michael Walden
I Don't Want to Miss a Thing,Aerosmith,"July 29, 1998 (1998-07-29)","Hard rock, [, 1, ], pop rock, [, 1, ], glam metal, [, 2, ]",4:59,Columbia,Diane Warren,Matt Serletic
I'd Do Anything for Love (But I Won't Do That),"Meat Loaf, Lorraine Crosby","August 31, 1993 (1993-08-31)[1]",Wagnerian rock,"12:01 (album version)
7:48 (video version)
5:13 (single version)
6:36 (single version, B-side of US release)",", MCA, 
, Virgin,  (Europe and Japan),",Jim Steinman,Jim Steinman
I Feel Fine,the Beatles,23 November 1964 (1964-11-23),"Rock and roll, [, 2, ], [, 3, ], pop rock, [, 4, ]",2:25,", Capitol,  (US), 
, Parlophone,  (UK),",Lennon–McCartney,George Martin
I Feel the Earth Move,Carole King,"April 16, 1971 (1971-04-16)",Pop rock,3:00,Ode,Carole King,Lou Adler
I Get Around,the Beach Boys,"May 11, 1964 (1964-05-11)","Rock, [, 1, ], doo-wop, [, 1, ], surf, [, 2, ], car song, [, 3, ], California sound, [, 4, ]",2:12,Capitol,"Brian Wilson, Mike Love",Brian Wilson
I Gotta Feeling,the Black Eyed Peas,"June 15, 2009 (2009-06-15)",Dance-pop,4:49 (album and video version)4:05 (radio edit),Interscope,"William Adams, Stacy Ferguson, Jaime Gomez, David Guetta, Allan Pineda, Frédéric Riesterer","David Guetta, Frédéric Riesterer"
I Got You Babe,Sonny & Cher,"July 9, 1965","Folk rock, [, 1, ], pop, [, 2, ]",3:11,Atco,Sonny Bono,Sonny Bono
I Had Some Help,"Post Malone, Morgan Wallen","April 10, 2024 (2024-04-10)",Country pop,2:58,", Republic, 
, Mercury,","Austin Post, Morgan Wallen, Louis Bell, Ryan Vojtesak, Jonathan Hoskins, Ernest Keith Smith, Ashley Gorley, Chandler Paul Walters","Louis Bell, Charlie Handsome, Jonathan Hoskins"
I Heard It Through the Grapevine,Gladys Knight & the Pips,"September 28, 1967","R&B, Southern soul, [, 1, ]",2:52,Soul,"Norman Whitfield, Barrett Strong",Norman Whitfield
I Hear a Symphony,the Supremes,"October 6, 1965","Pop, R&B",2:38,"Motown,  , M 1083",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
I Honestly Love You,Olivia Newton-John,August 1974 (US),"Soft rock, [, 1, ], [, 2, ], pop, [, 3, ], [, 4, ], country, [, 4, ]",3:40,EMI,"Jeff Barry, Peter Allen",John Farrar
I Just Called to Say I Love You,Stevie Wonder,"August 1, 1984[1]","R&B, [, 2, ]","6:17 (album version)4:25 (single version)6:44 (12"" version)","Motown,  – MOT-684","Stevie Wonder, [, 3, ]",Stevie Wonder
I Just Can't Stop Loving You,"Michael Jackson, Siedah Garrett","July 20, 1987","Pop, R&B","4:25 (album version)
4:17 (7"" w/ spoken intro)
4:12 (7"" w/o spoken intro)",", Epic, 
, CBS,",Michael Jackson,"Quincy Jones, Michael Jackson (, co., )"
I Just Want to Be Your Everything,Andy Gibb,April 1977,"Disco, [, 1, ], [, 2, ], funk, [, 3, ]",3:47 (album version) 3:34 (single version),RSO,Barry Gibb,Gibb-Galuten-Richardson
I Kissed a Girl,Katy Perry,"April 28, 2008 (2008-04-28)","Pop rock, electropop, new wave, glam rock, [, 1, ]",3:00,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Cathy Dennis","Dr. Luke, Benny Blanco"
I Knew I Loved You,Savage Garden,28 September 1999 (1999-09-28),,4:10,"Roadshow, Columbia","Daniel Jones, Darren Hayes","Daniel Jones, Darren Hayes, Walter Afanasieff"
I Knew You Were Waiting (For Me),"Aretha Franklin, George Michael",23 January 1987 (1987-01-23)[1],"Dance-pop, [, 2, ], gospel, [, 2, ], soul, [, 3, ]",4:01,Arista,"Simon Climie, Dennis Morgan",Narada Michael Walden
"I Like It (Cardi B, Bad Bunny and J Balvin song)","Cardi B, Bad Bunny, J Balvin","May 25, 2018","Latin trap, hip hop",4:13,Atlantic,"Belcalis Almanzar, Benito Ocasio, José Osorio, Tony Pabón, Marcos Masis, Jesus Nieves, Manny Rodriguez, Jorden Thorpe, Anthony White, Vincent Watson, Edgar Machuca, Xavier Vargas, Edgar Vargas, Benny Bonnilla","J. White Did It, Tainy, Craig Kallman, Invincible"
I Like the Way (The Kissing Game),Hi-Five,"January 2, 1991","New jack swing, [, 1, ], R&B, [, 2, ], teen pop, [, 2, ]",5:49 (album version)3:56 (radio version),Jive,"Teddy Riley, Bernard Belle, Dave Way",Teddy Riley
I'll Be Loving You (Forever),New Kids on the Block,"April 10, 1989","Pop, R&B, blue-eyed soul",4:28 (album version)3:57 (single version),Columbia,Maurice Starr,Maurice Starr
I'll Be Missing You,"Puff Daddy, Faith Evans, 112","May 27, 1997 (1997-05-27)[1]","Hip hop, R&B, soul, rap rock, soft rock","5:43 (LP version)
5:01 (LP edit)
4:08 (radio edit)
3:29 (short version)",", Bad Boy, 
, Arista,","Sting, Todd Gaither, Faith Evans","Puff Daddy, Stevie J"
I'll Be There for You (Bon Jovi song),Bon Jovi,February 1989,"Glam metal, hard rock","5:46 (album version)
5:41 (single version)
4:43 (radio edit)",Mercury,"Jon Bon Jovi, Richie Sambora",Bruce Fairbairn
I'll Be There (Jackson 5 song),The Jackson 5,"August 28, 1970 (1970-08-28)",Soul,3:57,"Motown,  (M 1171)","Berry Gordy, Bob West, Willie Hutch, Hal Davis",Hal Davis
I'll Be Your Everything (Tommy Page song),Tommy Page,"February 19, 1990","Pop, teen pop",4:10,Sire,"Jordan Knight, Danny Wood, Tommy Page","Jordan Knight, Donnie Wahlberg, Michael Jonzun"
I'll Make Love to You,Boyz II Men,"July 26, 1994 (1994-07-26)",R&B,3:56,Motown,Babyface,Babyface
I'll Take You There,the Staple Singers,February 1972,"Funk, [, 1, ], [, 2, ], gospel, [, 2, ], [, 3, ], soul, [, 4, ]","4:433:16 (7"" version)",Stax,Al Bell,Al Bell
I Love a Rainy Night,Eddie Rabbitt,"November 10, 1980","Country, [, 1, ], rockabilly, [, 1, ]",3:08,Elektra,"David Malloy, Eddie Rabbitt, Even Stevens",David Malloy
I Love Rock 'n' Roll,Arrows,July 1975,Hard rock,2:48,RAK,"Alan Merrill, Jake Hooker",Mickie Most
I'm a Believer,the Monkees,November 1966 (1966-11)[1],"Pop rock, blue-eyed soul, [, 2, ]",2:47,Colgems,Neil Diamond,Jeff Barry
"I'm Henery the Eighth, I Am",Harry Champion,,Music Hall,,,"Fred Murray, R. P. Weston",
I'm Leaving It Up to You,Dale & Grace,September 1963,"Doo-wop, [, 1, ]",2:13,Montel,"Don F. Harris, Dewey Terry",Sam Montel
I'm Real (Jennifer Lopez song),"Jennifer Lopez, Ja Rule","June 19, 2001 (2001-06-19)","Pop, R&B, (album version), hip hop, R&B (Murder Remix)","4:58 (album version)
4:21 (Murder Remix)",Epic,"Jennifer Lopez, Troy Oliver, Cory Rooney, Leshan Lewis, Martin Denny","Troy Oliver, Cory Rooney, L.E.S."
I'm Sorry (Brenda Lee song),Brenda Lee,16 May 1960,"Countrypolitan, [, 1, ]",2:40,"Decca Records,  9-31093","Dub Allbritten, Ronnie Self",Owen Bradley
I'm Sorry (John Denver song),John Denver,July 1975 (US),"Country, [, 1, ]",3:32,RCA Victor,John Denver,Milton Okun
I'm Telling You Now,Freddie and the Dreamers,"September 1963 (1963-09) (UK)
March 1965 (1965-03) (US)","Merseybeat, [, 1, ]",2:05,"Columbia (EMI),  DB 7086 (UK), Tower 125 (USA)","Freddie Garrity, Mitch Murray",John Burgess
