Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Mrs. Robinson,Simon & Garfunkel,"April 5, 1968",Folk rock,4:02,Columbia,Paul Simon,"Paul Simon
Art Garfunkel
Roy Halee",,
Kiss and Say Goodbye,The Manhattans,March 1976,"R&B
Philadelphia soul",4:28,Columbia Records[1],Winfred Lovett[1],"Bobby Martin
Manhattans Production, Inc.[1]",,
Boogie Fever,the Sylvers,November 1975,"Disco
pop-soul
bubblegum pop",3:31,Capitol,"Freddie Perren, Kenneth St. Lewis",Freddie Perren,,
Celebration (Kool & the Gang song),Kool & the Gang,October 1980,"Post-disco
funk",3:42,De-Lite,"Ronald Nathan BellClaydes Charles SmithGeorge Melvin BrownJames ""J.T."" TaylorRobert Spike MickensEarl Eugene Toon Jr.Dennis Ronald ThomasRobert Earl BellEumir Deodato",Eumir DeodatoKool & the Gang,,
You Can't Hurry Love,the Supremes,"July 25, 1966","Pop
soul
R&B
Motown sound",2:44,Motown M 1097,Holland–Dozier–Holland,"Brian Holland
Lamont Dozier",,
The Happy Organ,"Dave ""Baby"" Cortez",1959,Instrumental rockR&B,2:06,Clock,"Dave ""Baby"" Cortez, James J. Kriegsmann, Ken Wood",,,
My Love (Paul McCartney and Wings song),Paul McCartney and Wings,23 March 1973,Soft rocklounge,4:07,Apple,"Paul McCartney, Linda McCartney[4]",Paul McCartney,,
He Will Break Your Heart,Jerry Butler,August 1960,R&B,2:40,Vee-Jay,"Jerry Butler, Calvin Carter, Curtis Mayfield",,,
Good Vibrations (Marky Mark and the Funky Bunch song),"Marky Mark and the Funky Bunch, Loleatta Holloway","July 16, 1991","Pop-rap
hip house",4:25,Interscope,"Donnie Wahlberg
Mark Wahlberg
Spice",Donnie Wahlberg,,
Father Figure (George Michael song),George Michael,28 December 1987,"Pop
R&B",5:40,Columbia,George Michael,George Michael,,
Da Ya Think I'm Sexy?,Rod Stewart,10 November 1978,Disco,5:31,Warner Bros.,Rod StewartCarmine AppiceDuane Hitchings,Tom Dowd,,
You Don't Bring Me Flowers,"Barbra Streisand, Neil Diamond",October 1978,Easy listening,3:25,Columbia,"Neil Diamond
Alan and Marilyn Bergman",Bob Gaudio,,
Rock the Boat (The Hues Corporation song),The Hues Corporation,May 1974,DiscosoulR&B,3:06,RCA Records,Wally Holmes,John Florez,,
One Dance,"Drake, Wizkid, Kyla","April 5, 2016",DancehallafrobeatspopUK funky,2:53,Young MoneyCash MoneyRepublic,"Aubrey Graham
Paul Jefferies
Ayodeji Balogun
Noah Shebib
Errol Reid
Luke Reid
Kyla Smith
Corey Johnson
Logan Sama[1]","Nineteen85
40
WizKid
Sarz
DJ Maphorisa",,
Every Breath You Take,the Police,20 May 1983,"New wave
soft rock",3:56,A&M,Sting,"The Police
Hugh Padgham",,
Hot Stuff (Donna Summer song),Donna Summer,"April 13, 1979","Disco
rock",3:47,Casablanca,"Pete Bellotte
Harold Faltermeyer
Keith Forsey","Giorgio Moroder
Pete Bellotte",,
Cold Hearted (Paula Abdul song),Paula Abdul,"June 2, 1989","New jack swing
dance-pop",3:51,Virgin,Elliot Wolff,Elliot Wolff,,
Stop! In the Name of Love,the Supremes,"February 8, 1965","Pop, R&B, soul",2:52,Motown,Holland–Dozier–Holland,Brian HollandLamont Dozier,,
Best of My Love (Eagles song),Eagles,"November 5, 1974","Soft rock
country rock",3:25,Asylum,"Don Henley, Glenn Frey, JD Souther",Glyn Johns,,
Rhinestone Cowboy,Glen Campbell,"May 26, 1975","Country
symphonic pop",3:15,Capitol,Larry Weiss[2],"Dennis Lambert, Brian Potter",,
Look Away,Chicago,"September 9, 1988",Rock,4:02,"Full Moon, Reprise",Diane Warren,Ron Nevison,,
Love You Inside Out,Bee Gees,April 1979,"Funk
disco
lounge",3:48,RSO,"Barry, Robin & Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson",,
"Say You, Say Me",Lionel Richie,"October 29, 1985",Pop,4:03,Motown,Lionel Richie[2],"Lionel Richie
James Anthony Carmichael",,
Raindrops Keep Fallin' on My Head,B. J. Thomas,October 1969,"Pop
soft rock",3:02,Scepter,"Burt Bacharach
Hal David","Burt Bacharach
Hal David",,
I'm Real (Jennifer Lopez song),"Jennifer Lopez, Ja Rule","June 19, 2001","PopR&B (album version)
hip hopR&B (Murder Remix)",4:58,Epic,"Jennifer Lopez
Troy Oliver
Cory Rooney
Leshan Lewis
Martin Denny","Troy Oliver
Cory Rooney
L.E.S.",,
My Boyfriend's Back (song),the Angels,July 1963,Pop,2:14,Smash,Bob FeldmanJerry GoldsteinRichard Gottehrer,"Feldman, Goldstein and Gottehrer",,
Old Town Road,Lil Nas X,"December 3, 2018  April 5, 2019","Country rap
country trap
Southern hip hop",1:53,Columbia,"Montero Hill
Trent Reznor
Atticus Ross
Kiowa Roukema","YoungKio
Trent Reznor
Atticus Ross",,
You Are Not Alone,Michael Jackson,"August 15, 1995","Pop
R&B",5:45,"Epic
Sony
MJJ",R. Kelly,"R. Kelly
Michael Jackson",,
Laughter in the Rain,Neil Sedaka,October 1974,"Pop, soft rock",2:53,Rocket ; Polydor,Neil Sedaka and Phil Cody,Neil Sedaka and Robert Appere,,
Love Will Never Do (Without You),Janet Jackson,"October 2, 1990","Dance-pop
new jack swing",4:35,A&M,Jimmy Jam and Terry Lewis,"Jimmy Jam and Terry Lewis
Janet Jackson",,
Stutter (Joe song),"Joe, Mystikal","January 2, 2001","R&B
hip hop",3:53,Jive,"Ernest E. Dixon
Roy ""Royalty"" Hamilton","Roy ""Royalty"" Hamilton
Teddy Riley",,
No Scrubs,TLC,"February 2, 1999","R&B
hip-pop",3:39,"LaFace
Arista","Kevin ""She'kspere"" Briggs
Kandi Burruss
Tameka ""Tiny"" Cottle
Lisa Lopes",She'kspere,,
Raise Your Glass,Pink,"October 5, 2010",Pop rock,3:23,LaFace,Alecia MooreMax MartinJohan Schuster,Max MartinShellback,,
Shakedown (Bob Seger song),Bob Seger,"May 4, 1987",Hard rockdance-rock,4:03,MCA,Harold FaltermeyerKeith ForseyBob Seger,Harold FaltermeyerKeith Forsey,,
Batdance,Prince,"June 8, 1989",Rockfunkdance,4:06,Warner Bros.,Prince,Prince,,
Weak (SWV song),SWV,"April 16, 1993",,4:21,RCA,Brian Alexander Morgan,Brian Alexander Morgan,,
Come Together,the Beatles,6 October 1969,Blues rockswamp rockrock and roll,4:19,Apple,Lennon–McCartney,George Martin,,
I'm Leaving It Up to You,Dale & Grace,September 1963,Doo-wop,2:13,Montel,"Don F. Harris, Dewey Terry",Sam Montel,,
I'm Your Boogie Man,KC and the Sunshine Band,1977,Disco,4:04,TK,Harry Wayne CaseyRichard Finch,Harry Wayne CaseyRichard Finch,,
When I See You Smile,Bad English,"August 30, 1989","Glam metal
pop rock",4:17,Epic,Diane Warren,Richie Zito,,
Thank You (Falettinme Be Mice Elf Agin),Sly and the Family Stone,December 1969,Funk,4:50,Epic,Sylvester Stewart[2],Sly Stone,,
Like a G6,"Far East Movement, The Cataracs, Dev","April 13, 2010",Electro-hop,3:38,CherrytreeInterscope,Far East MovementDev,The Cataracs,,
Girl I'm Gonna Miss You,Milli Vanilli,1 July 1989,,4:19,HansaArista,Frank FarianPeter Bischof-FallensteinDietmar Kawohl,Frank Farian,,
Thrift Shop,"Macklemore & Ryan Lewis, Wanz","August 27, 2012","Pop-rap
comedy hip hop",3:55,Macklemore LLC,"Ben Haggerty
Ryan Lewis",Lewis,,
Umbrella (song),"Rihanna, Jay-Z","March 29, 2007","Pop
hip hop
R&B",4:36,"Def Jam
SRP","Christopher Stewart
Terius Nash
Kuk Harrell
Shawn Carter",Tricky Stewart,,
Love Yourself,Justin Bieber,"December 7, 2015","Pop
folk
blue-eyed soul",3:53,Def Jam,Justin BieberBenjamin LevinEd Sheeran,Benny Blanco,,
Best of My Love (The Emotions song),the Emotions,"June 9, 1977","Disco
gospel
soul",3:42,Columbia,"Maurice White
Al McKay","Maurice White
Clarence McDonald",,
Do I Make You Proud,Taylor Hicks,"June 13, 2006",Soul,4:13,"19
Arista","Tracy Ackerman
Andy Watkins
Paul Wilson","Absolute
Dave Way",,
Have You Never Been Mellow (song),Olivia Newton-John,January 1975,Popcountryadult contemporary,3:31,"EMI 
MCA",John Farrar,John Farrar,,
Grillz,"Nelly, Paul Wall, Ali & Gipp","November 1, 2005",,4:30,"Universal
Fo' Reel Entertainment
Derrty Ent.","Cornell Haynes, Jr.
Jermaine Mauldin
Ali Jones
Cameron Gipp
James Phillips
Paul Slayton
Beyoncé Knowles
Kelendria Rowland
Tenitra Williams
Garrett Hamler
Rich Harrison",Jermaine Dupri,,
Havana (Camila Cabello song),"Camila Cabello, Young Thug","August 3, 2017","Pop
Latin",3:37,"Epic
Syco","Camila Cabello
Jeffery Williams
Brittany Hazzard
Pharrell Williams
Adam Feeney
Brian Lee
Ali Tamposi
Andrew Watt
Louis Bell
Kaan Gunesberk",Frank Dukes,,
Deep Purple (song),,,,,,,,Mitchell Parish (added 1938),Peter DeRose
Separate Lives,"Phil Collins, Marilyn Martin",September 1985 11 November 1985,Soft rock,4:06,"Atlantic
Virgin
WEA",Stephen Bishop,"Arif Mardin
Hugh Padgham
Phil Collins",,
People Got to Be Free,the Rascals,"July 1, 1968",Blue-eyed soul,3:01,Atlantic,Felix CavaliereEddie Brigati,The Rascalswith Arif Mardin,,
Truly (Lionel Richie song),Lionel Richie,September 1982,Pop,3:26,Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael",,
Sundown (Gordon Lightfoot song),Gordon Lightfoot,"March 25, 1974","Folk rock
country rock",3:37,Reprise,Gordon Lightfoot,Lenny Waronker,,
Shake You Down,Gregory Abbott,August 1986,"R&B
smooth soul",4:05,Columbia,Gregory Abbott,Gregory Abbott,,
Pony Time,Chubby Checker,January 1961,R&B,2:27,Parkway 818,"Don Covay, John Berry",,,
U Remind Me,Usher,"May 22, 2001",R&B,4:27,Arista,"Anita McCloud
Edmund Clement","Edmund Clement
Jimmy Jam & Terry Lewis",,
The Hills (song),the Weeknd,"May 27, 2015",trapindustrialelectronic,4:02,"XO
Republic","Abel Tesfaye
Emmanuel Nickerson
Carlo Montagnese
Ahmad Balshe
Tom Raybould [2]","Illangelo
Mano",,
Out of Touch,Daryl Hall & John Oates,"October 4, 1984","Dance-rock
synth-pop
new wave",3:55,RCA Victor,"Daryl Hall
John Oates","Daryl Hall & John Oates
Bob Clearmountain",,
I Feel the Earth Move,Carole King,"April 16, 1971",Pop rock,3:00,Ode,Carole King,Lou Adler,,
Heartache Tonight,Eagles,"September 18, 1979",Hard rockrock and rollblues rock,4:25,Asylum,Don HenleyGlenn FreyBob SegerJD Souther,Bill Szymczyk,,
Fingertips,Little Stevie Wonder,"May 21, 1963","R&B, soul",6:40,TamlaT 54080,"Clarence Paul, Henry Cosby","Berry Gordy, Jr.",,
Joyride (Roxette song),Roxette,25 February 1991,Pop rockdance rock,4:24,EMI,Per Gessle,Clarence Öfwerman,,
I'm Sorry (Brenda Lee song),Brenda Lee,16 May 1960,Countrypolitan,2:40,Decca Records 9-31093,"Dub Allbritten, Ronnie Self",Owen Bradley,,
Call Me Maybe,Carly Rae Jepsen,"September 20, 2011","Pop
teen pop
dance-pop
bubblegum pop",3:13,"604
Schoolboy
Interscope","Carly Rae Jepsen
Josh Ramsay
Tavish Crowe",Josh Ramsay,,
No One (Alicia Keys song),Alicia Keys,"October 9, 2007",R&B,4:13,J,"Alicia Keys
Kerry Brothers Jr.
George M. Harry","Alicia Keys
Kerry ""Krucial"" Brothers",,
These Dreams,Heart,January 1986,"Rock
synth-pop",4:15,"Capitol, Epic","Bernie Taupin
Martin Page",Ron Nevison,,
Money for Nothing (song),Dire Straits,28 June 1985,Pop rock,8:22,Vertigo,"Mark Knopfler
Sting","Neil Dorfsman
Mark Knopfler",,
El Paso (song),Marty Robbins,"October 26, 1959","Country, Tex-Mex",4:38,Columbia,Marty Robbins,Don Law,,
Rag Doll (The Four Seasons song),The Four Seasons,June 1964,"Pop rock
doo-wop
R&B",2:54,Philips Records,Bob CreweBob Gaudio,Bob Crewe,,
"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,1976,Disco,3:07,TK Records,Harry Wayne CaseyRichard Finch,Harry Wayne CaseyRichard Finch,,
Cracklin' Rosie,Neil Diamond,"July 30, 1970","Soft rock, pop",2:54,Uni,Neil Diamond,Tom Catalano,,
Emotions (Mariah Carey song),Mariah Carey,"August 13, 1991","R&B
dance
post-disco
house
dance-pop",4:08,Columbia,,"David Cole
Robert Clivillés
Mariah Carey",Mariah Carey,"Mariah Carey
David Cole
Robert Clivillés"
Bad Guy (Billie Eilish song),Billie Eilish,"March 29, 2019",Electropopdance-poptrap-pop,3:14,DarkroomInterscope,Billie EilishFinneas O'Connell,Finneas O'Connell,,
Good Lovin',the Olympics,1965,Doo-wop,,Loma,"Rudy Clark, Arthur Resnick",Jerry Ragovoy,,
Where Do Broken Hearts Go,Whitney Houston,February 1988,PopsoulR&B,4:38,Arista,Frank WildhornChuck Jackson,Narada Michael Walden,,
Angie Baby,Helen Reddy,"October 7, 1974",R&Bpsychedelic pop,3:29,Capitol,Alan O'Day,Joe Wissert,,
The Power of Love (Jennifer Rush song),Jennifer Rush,December 1984,Pop,4:20,CBS,,"Gunther Mende
Candy DeRouge","Jennifer Rush
Mary Susan Applegate","Gunther Mende
Candy DeRouge"
Babe (Styx song),Styx,"September 14, 1979",Soft rock,4:01,A&M,Dennis DeYoung,Dennis DeYoungJohn PanozzoChuck Panozzo,,
Sunflower (Post Malone and Swae Lee song),"Post Malone, Swae Lee","October 18, 2018","Dream pop
hip hop
R&B",2:38,Republic,"Austin Post
Khalif Brown
Carter Lang
Carl Rosen
Billy Walsh
Louis Bell","Carter Lang
Louis Bell",,
TSOP (The Sound of Philadelphia),"MFSB, The Three Degrees","February 6, 1974   March 29, 1974","Philadelphia soul
disco",3:29,Philadelphia International Records,Gamble and Huff,Kenneth Gamble and Leon Huff,,
Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,"September 24, 1975",Soul,3:25,Motown,Michael MasserGerald Goffin,Michael Masser,,
Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton","August 16, 2011
January 24, 2013","Industrial hip hop
pop rap
experimental pop",4:18,"Macklemore LLC
Elektra","Ben Haggerty
Ryan Lewis
Ray Dalton",Ryan Lewis,,
I Get Around,the Beach Boys,"May 11, 1964",Rockdoo-wopsurfcar songCalifornia sound,2:12,Capitol,Brian WilsonMike Love,Brian Wilson,,
So Sick,Ne-Yo,"November 21, 2005",R&B,3:27,Def Jam,Mikkel S. EriksenTor Erik HermansenShaffer Smith,Stargate,,
9 to 5 (Dolly Parton song),Dolly Parton,"November 3, 1980","Country pop
disco",2:43,RCA Nashville,Dolly Parton,Gregg Perry,,
Justify My Love,Madonna,"November 6, 1990","Hip hop
dance
trip hop
experimental pop",4:58,"Sire
Warner Bros.","Lenny Kravitz
Ingrid Chavez
Madonna","Lenny Kravitz
André Betts",,
Unpretty,TLC,"May 17, 1999","Pop rock
alternative rock
R&B",4:38,"LaFace
Arista","Dallas Austin
Tionne Watkins",Dallas Austin,,
That's the Way (I Like It),KC and the Sunshine Band,"June 10, 1975","Disco
funk",3:06,TK,"Harry Wayne Casey
Richard Finch","Harry Wayne Casey
Richard Finch",,
To Sir with Love (song),Lulu,September 1967,Pop,2:47,Epic,,Mickie Most,Don Black,Mark London
I'm the One (DJ Khaled song),"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","April 28, 2017",Hip hoppop-rap,4:49,We the BestEpic,Khaled KhaledJustin BieberQuavious MarshallChancelor BennettDwayne Carter Jr.Nicholas BaldingJason BoydRobert Brackins IIIDavid ParkRay Jacobs,DJ KhaledNic Nac,,
"Bad, Bad Leroy Brown",Jim Croce,"March 20, 1973",Boogie-woogie,3:02,ABCVertigo,Jim Croce,"Terry Cashman, Tommy West",,
Black and Yellow,Wiz Khalifa,"September 14, 2010",Hip hop,3:37,"Rostrum
Atlantic","Cameron Thomaz
Mikkel S. Eriksen
Tor Erik Hermansen",Stargate,,
Back in My Arms Again,the Supremes,"April 15, 1965","Pop, rhythm and blues",2:52,Motown,Holland–Dozier–Holland,Brian HollandLamont Dozier,,
Cardigan (song),Taylor Swift,"July 27, 2020","Folk
indie rock
soft rock",4:00,Republic,"Taylor Swift
Aaron Dessner",Aaron Dessner,,
Rain on Me (Lady Gaga and Ariana Grande song),"Lady Gaga, Ariana Grande","May 22, 2020","House
dance-pop
disco",3:02,Interscope,"Lady Gaga
BloodPop
Ariana Grande
Matthew Burns
Nija Charles
Rami Yacoub
Martin Bresso
Alexander Ridha","BloodPop
Burns",,
Call Me (Blondie song),Blondie,"January 29, 1980","Dance-rock
punk rock
new wave
Eurodisco",2:15,"Polydor
Chrysalis
Salsoul","Debbie Harry
Giorgio Moroder",Giorgio Moroder,,
Mr. Custer,Larry Verne,1960,Novelty,3:04,Era,"Al De Lory
Fred Darian
Joseph Van Winkle",,,
Nice & Slow,Usher,"January 6, 1998",R&Bsoul,3:48,LaFaceArista,Brian CaseyManuel Seal Jr.Jermaine DupriUsher Raymond,Jermaine Dupri,,
St. Elmo's Fire (Man in Motion),John Parr,13 June 1985,"Rock
pop rock",4:08,Atlantic,"David Foster
John Parr",David Foster,,
Keep On Loving You (song),REO Speedwagon,"November 4, 1980","AOR
soft rock",3:20,Epic,Kevin Cronin,"Kevin Beamish, Kevin Cronin, Alan Gratzer, Gary Richrath",,
Stuck with U,"Ariana Grande, Justin Bieber","May 8, 2020","Pop
R&B",3:48,"Republic
Def Jam
Silent","Ariana Grande
Justin Bieber
Freddy Wexler
Gian Stone
Whitney Phillips
Scott Braun
Skyler Stonestreet","Freddy Wexler
Gian Stone
Ariana Grande",,
Sunshine on My Shoulders,John Denver,"May 1973 October 22, 1973","Folk
country
soft rock",3:18,RCA Records,"John Denver
Dick Kniss
Mike Taylor",Milt Okun,,
Try That in a Small Town,Jason Aldean,"May 22, 2023",Country,3:01,BBR,Kelley LovelaceNeil ThrasherTully KennedyKurt Allison,Michael Knox,,
Whatever Gets You thru the Night,John Lennon,23 September 1974  4 October 1974,"Pop
funk
R&B",3:27,Apple,John Lennon,John Lennon,,
New Kid in Town,Eagles,"December 7, 1976",Yacht rockcountry rock,4:49,Asylum,"Don Henley
Glenn Frey
JD Souther",Bill Szymczyk,,
Hot in Herre,Nelly,"May 7, 2002",Hip hop,3:49,UniversalFo' Reel,Cornell HaynesPharrell WilliamsChad HugoCharles Brown,The Neptunes,,
Billie Jean,Michael Jackson,"January 3, 1983","Post-disco
R&B
funk
dance-pop",4:57,Epic,Michael Jackson,"Quincy Jones
Michael Jackson",,
Boogie Oogie Oogie,A Taste of Honey,1978,"Disco, funk",5:37,Capitol,Janice-Marie JohnsonPerry Kibble,Fonce MizellLarry Mizell,,
Hiss (song),Megan Thee Stallion,"January 26, 2024",Hip hop,3:12,Hot Girl,,"LilJuMadeDaBeat
Bankroll Got It
Shawn ""Source"" Jarrett",Megan Pete,"Shawn ""Source"" Jarrett
Joel Banks
Taylor Banks"
I'll Make Love to You,Boyz II Men,"July 26, 1994",R&B,3:56,Motown,Babyface,Babyface,,
Just Give Me a Reason,"Pink, Nate Ruess","February 26, 2013",Pop,4:02,RCA,PinkJeff BhaskerNate Ruess,Jeff Bhasker,,
Savage (Megan Thee Stallion song),Megan Thee Stallion,"April 7, 2020",Hip hop,2:36,"1501 Certified
300","Megan Pete
Anthony White
Bobby Session Jr.",J. White Did It,,
Break Your Heart,Taio Cruz,20 September 2009  2 February 2010,Dance-popelectropop,3:05,IslandMercury,Taio CruzFraser T SmithChris Bridges (remix),Taio CruzFraser T Smith,,
I Don't Wanna Cry,Mariah Carey,March 1991,Pop,4:47,Columbia,Mariah CareyNarada Michael Walden,Narada Michael Walden,,
All About That Bass,Meghan Trainor,"June 30, 2014","Bubblegum pop
doo-wop
pop rap",3:07,Epic,"Meghan Trainor
Kevin Kadish",Kevin Kadish,,
A View to a Kill (song),Duran Duran,7 May 1985,"Synth-pop
new wave",3:37,"EMI
Capitol","Duran Duran
John Barry","Bernard Edwards
Jason Corsaro
Duran Duran",,
This Used to Be My Playground,Madonna,"June 16, 1992",Pop,5:08,SireWarner Bros.,MadonnaShep Pettibone,MadonnaShep Pettibone,,
Sherry (song),The Four Seasons,August 1962,Doo-woppoppop rockR&B,2:32,Vee-Jay,Bob Gaudio,Bob Crewe,,
How Deep Is Your Love (Bee Gees song),Bee Gees,September 1977,Soft rock,4:02,RSO,Barry GibbRobin GibbMaurice Gibb,Bee GeesKarl RichardsonAlbhy Galuten,,
Over and Over (Bobby Day song),Bobby Day,1958,Doo-wop,2:20,Class,Robert James Byrd,,,
Because You Loved Me,Celine Dion,19 February 1996,Pop,4:33,"Columbia
Epic",Diane Warren,David Foster,,
Permission to Dance,BTS,"July 9, 2021",Dance-pop,3:07,"Big Hit
Sony","Ed Sheeran
Johnny McDaid
Steve Mac
Jenna Andrews","Steve Mac
Jenna Andrews
Stephen Kirk",,
Pick Up the Pieces (Average White Band song),Average White Band,July 1974,"Funk
jazz-funk
R&B",3:00,Atlantic,"Roger Ball, Malcolm Duncan, Alan Gorrie, Onnie McIntyre, Hamish Stuart, Robbie McIntosh",Arif Mardin,,
I Want to Be Wanted,Brenda Lee,July 1960,Orchestral pop,3:05,Decca Records,Kim GannonPino SpottiAlberto Testa[2],Owen Bradley,,
Magic (Olivia Newton-John song),Olivia Newton-John,May 1980,Popdiscosoft rock,4:31,MCA Jet,John Farrar,John Farrar,,
Sara (Starship song),Starship,December 1985,Pop rocksoft rock,4:52,GruntRCA,,Peter WolfJeremy Smith,Ina Wolf,Peter WolfIna Wolf
MacArthur Park (song),Richard Harris,April 1968,Pop,7:21,Dunhill,Jimmy Webb,Jimmy Webb,,
"Michael, Row the Boat Ashore",The Highwaymen,September 1960,Folk,2:57,United Artists,"Tony Saletan, traditional",Lou Adler,,
How Do U Want It,"2Pac, K-Ci & JoJo","June 4, 1996","Hip hop
R&B",4:47,"Death Row
Interscope","Tupac Shakur
Johnny Jackson
Mr.Dalvin","Johnny ""J"" & Mr. Dalvin",,
More Than Words,Extreme,"March 12, 1991","Glam metal
soft rockacoustic rock",5:33,A&M,Gary CheroneNuno Bettencourt,Michael Wagener,,
Nothing Compares 2 U,Sinéad O'Connor,8 January 1990,Pop,5:10,Chrysalis,Prince,"Sinéad O'Connor
Nellee Hooper • Chris Birkett",,
Say So,Doja Cat,"January 17, 2020","Pop
disco
pop rap",3:58,"Kemosabe
RCA","Amala Dlamini
Lukasz Gottwald
Lydia Asrat
Jamie Parker
Onika Maraj-Petty (remix)",Tyson Trax,,
Save the Last Dance for Me,The Drifters,August 1960,Popsoul,2:34,Atlantic,"Doc Pomus, Mort Shuman",Jerry Leiber and Mike Stoller,,
Bad Blood (Neil Sedaka song),Neil Sedaka,September 1975,Rock,3:09,Rocket/MCA Polydor,"Neil Sedaka, Phil Cody",Neil Sedaka,,
We Are the World,,"March 7, 1985","Pop
gospel",6:22,"Columbia
CBS","Michael Jackson
Lionel Richie","Quincy Jones
Michael Omartian",,
Makes Me Wonder,Maroon 5,"March 27, 2007","Alternative dance
dance-rock
pop rock
funk",3:31,A&M Octone,"Adam Levine
Jesse Carmichael
Mickey Madden","Mark Endert
Maroon 5",,
Single Ladies (Put a Ring on It),Beyoncé,"October 8, 2008","Dance-pop
R&B
bounce",3:13,Columbia,,"Knowles
Tricky Stewart
The-Dream","Knowles
Stewart
Nash
Thaddis Harrell","Beyoncé Knowles
Christopher ""Tricky"" Stewart
Terius ""The-Dream"" Nash"
All My Life (K-Ci & JoJo song),K-Ci & JoJo,"March 17, 1998",R&Bsoul,5:30,MCA,Joel HaileyRory Bennett,K-Ci & JoJo,,
Love Machine (The Miracles song),The Miracles,October 1975,Disco,2:55,Tamla,"William Griffin
Warren Moore",Freddie Perren,,
Right Here Waiting,Richard Marx,"June 29, 1989",Soft rock,4:28,EMI,"Richard Marx
Bruce Gaitsch","Richard Marx
David Cole",,
We R Who We R,Kesha,"October 22, 2010","Dance-pop
EDM
techno",3:24,RCA,"Kesha Sebert
Joshua Coleman
Lukasz Gottwald
Jacob Kasher Hindlin
Benjamin Levin","Dr. Luke
Benny Blanco
Ammo",,
Monster Mash,"Bobby ""Boris"" Pickett","August 25, 1962","Novelty
pop
Halloween
rock and roll",3:14,Garpax London,Bobby PickettLenny Capizzi,Gary S. Paxton,,
Brother Louie (Hot Chocolate song),Hot Chocolate,1973,,4:23,Rak,"Errol Brown
Tony Wilson",Mickie Most,,
The Greatest Love of All,George Benson,June 1977,"Smooth jazz
R&B
soul",3:29,Arista,"Michael Masser (composition)
Linda Creed (lyrics)",Michael Masser,,
Stagger Lee,Waring's Pennsylvanians,1923,,3:21,Victor,Ray Lopez (credited on single),,,
Poor Little Fool,Ricky Nelson,"June 23, 1958","Country
rock
doo-wop",2:32,Imperial[3],Sharon Sheeley,"Ricky Nelson, Ozzie Nelson, Jimmie Haskell",,
"Wild, Wild West (The Escape Club song)",the Escape Club,1988,Dance-rock,5:44,"WEA
Atlantic",The Escape Club,Chris Kimsey,,
Rapstar,Polo G,"April 9, 2021",Trap,2:45,Columbia,"Taurus Bartlett
Einer Bankz
Alexander Wu","Einer Bankz
Synco",,
Wake Me Up Before You Go-Go,Wham!,14 May 1984,Bubblegum pop,3:50,"Columbia
Epic",George Michael,George Michael,,
SOS (Rihanna song),Rihanna,"February 14, 2006","Dance-pop
hip hop
R&B",3:59,"Def Jam
SRP","Jonathan Rotem
Evan Bogart
Edward Cobb",J. R. Rotem,,
Let's Get It On (song),Marvin Gaye,"June 15, 1973","Soul
R&B
deep funk",4:53,Tamla,"Marvin Gaye
Ed Townsend","Marvin Gaye
Ed Townsend",,
Bad Medicine (song),Bon Jovi,"September 12, 1988",Glam metal,3:54,Mercury,"Jon Bon Jovi
Richie Sambora
Desmond Child",Bruce Fairbairn,,
Beautiful Girls (Sean Kingston song),Sean Kingston,"May 26, 2007",Popdoo-wopreggae,4:02,Epic,Kisean AndersonJohnathan RotemJerome LeiberMichael StollerBen E. KingPeter Harrison,J. R. RotemPeter Harrison,,
(Can't Live Without Your) Love and Affection,Nelson,"May 19, 1990",Glam metal,3:55,Geffen,"Matthew Nelson, Gunnar Nelson, Marc Tanner","Marc Tanner, David Thoener",,
Rude (song),Magic!,"October 11, 2013",Reggae fusion,3:44,LatiumRCASony,Nasri AtwehAdam MessingerMark PellizzerBen SpivakAlex Tanas,Adam Messinger,,
Superstition (song),Stevie Wonder,"October 24, 1972",Funkfunk rockpopsoul,4:26,Motown,Stevie Wonder,Stevie WonderMalcolm Cecil (add.)Robert Margouleff (add.),,
La Bamba (song),Ritchie Valens,October 1958,"Rock and roll
chicano rock
rock en español",2:06,Del-Fi,"Traditional, adapted by Ritchie Valens",Bob Keane,,
Why (Frankie Avalon song),Frankie Avalon,"November 9, 1959",Pop,2:30,Chancellor 1045,"Peter De Angelis, Bob Marcucci",,,
Listen to Your Heart (Roxette song),Roxette,27 September 1988,Alternative rock,5:28,"Parlophone
EMI","Per Gessle
Mats Persson",Clarence Öfwerman,,
Lose Yourself,Eminem,"October 28, 2002","Hip hop
rap rock
hardcore hip hop",5:26,ShadyInterscope,,EminemJeff BassLuis Resto,Marshall Mathers,Marshall MathersJeff BassLuis Resto
Dreamlover (song),Mariah Carey,27 July 1993,PopR&Bdancenew jack swing,3:53,Columbia,,"Mariah Carey
Dave Hall
Walter Afanasieff",Mariah Carey,"Mariah Carey
Dave Hall"
Hello (Lionel Richie song),Lionel Richie,"February 13, 1984",Popquiet stormsoft rock,4:08,Motown,Lionel Richie,"Lionel Richie
James Anthony Carmichael",,
