Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
I Knew I Loved You,,28 September 1999 (1999-09-28),,4:10,"Roadshow, Columbia","Daniel Jones, Darren Hayes","Daniel Jones, Darren Hayes, Walter Afanasieff"
I Knew You Were Waiting (For Me),,23 January 1987 (1987-01-23),"Dance-pop, gospel, soul",4:01,Arista,"Simon Climie, Dennis Morgan",Narada Michael Walden
"I Like It (Cardi B, Bad Bunny and J Balvin song)",,"May 25, 2018","Latin trap, hip hop",4:13,Atlantic,"Belcalis Almanzar, Benito Ocasio, José Osorio, Tony Pabón, Marcos Masis, Jesus Nieves, Manny Rodriguez, Jorden Thorpe, Anthony White, Vincent Watson, Edgar Machuca, Xavier Vargas, Edgar Vargas, Benny Bonnilla","J. White Did It, Tainy, Craig Kallman, Invincible"
I Like the Way (The Kissing Game),,"January 2, 1991","New jack swing, R&B, teen pop",5:49 (album version)3:56 (radio version),Jive,"Teddy Riley, Bernard Belle, Dave Way",Teddy Riley
I Love a Rainy Night,,"November 10, 1980","Country, rockabilly",3:08,Elektra,"David Malloy, Eddie Rabbitt, Even Stevens",David Malloy
I Love Rock 'n' Roll,,July 1975,Hard rock,2:48,RAK,"Alan Merrill, Jake Hooker",Mickie Most
I Remember Everything,,"September 8, 2023",Country,3:47,", Belting Bronco, 
, Warner,","Zach Bryan, Kacey Musgraves",Zach Bryan
I Shot the Sheriff,,12 February 1973,Reggae,4:41,"Tuff Gong, Island",Bob Marley,"Chris Blackwell, The Wailers"
I Still Haven't Found What I'm Looking For,,25 May 1987,"Rock, gospel",4:37,Island,,"Daniel Lanois, Brian Eno"
I Swear,,"November 19, 1993",Country,4:22,Atlantic Nashville,"Gary Baker, Frank J. Myers",Scott Hendricks
I Think I Love You,,"August 22, 1970","Baroque pop, bubblegum pop",2:54,Bell,Tony Romeo,Wes Farrell
I Think We're Alone Now,,January 1967,"Pop rock, bubblegum pop, garage rock",2:08,Roulette,Ritchie Cordell,Ritchie Cordell
I Wanna Dance with Somebody (Who Loves Me),,"April 28, 1987","Pop, dance-pop, R&B",4:51,Arista,"George Merrill, Shannon Rubicam",Narada Michael Walden
I Wanna Love You (Akon song),,"October 5, 2006","Hip hop, R&B","4:07
2:59 (short version)",", SRC, 
, Universal, 
, Konvict, 
, UpFront, 
, Geffen, 
, Doggystyle,","Cordozar Broadus, Aliaune 'Akon' Thiam",Akon
I Want to Be Wanted,,July 1960,Orchestral pop,3:05,Decca Records,"Kim Gannon, Pino Spotti, Alberto Testa, [, 2, ]",Owen Bradley
I Want to Hold Your Hand,,"29 November 1963 (1963-11-29) (UK)
26 December 1963 (1963-12-26) (US)","Rock and roll, pop",2:24,", Parlophone,   · , Capitol,  ,",Lennon–McCartney,George Martin
I Want to Know What Love Is,,"November 21, 1984 (1984-11-21) (US)November 30, 1984 (1984-11-30) (UK)",Soft rock,"5:04
6:23 (12-inch extended)",Atlantic,Mick Jones,"Mick Jones, Alex Sadkin"
I Want You Back,,"October 7, 1969 (1969-10-07)","Pop, soul",2:59,"Motown,  , M 1157","The Corporation, – (, Berry Gordy, Freddie Perren, Alphonso Mizell, Deke Richards, ), [, 2, ]",The Corporation
I Will Always Love You,,"March 11, 1974 (1974-03-11)",Country,2:54,RCA Victor,Dolly Parton,Bob Ferguson
I Will Always Love You (Whitney Houston recording),,"November 2, 1992 (1992-11-02)","Pop, soul, R&B",4:31,Arista,Dolly Parton,David Foster
The Game of Love (Wayne Fontana and the Mindbenders song),,22 January 1965,"Blues rock, beat, blue-eyed soul",2:04,Fontana,Clint Ballard Jr.,
Gangsta's Paradise,,"August 1, 1995","West Coast hip hop, pop rap, gangsta rap, G-funk",4:04,", Tommy Boy, 
, Warner Bros., 
, MCA,","Artis Ivey, Jr., Larry Sanders, Doug Rasheed, Stevie Wonder",Doug Rasheed
Genie in a Bottle,,"June 22, 1999","Soul-pop, teen pop, dance-pop, R&B",3:36,RCA,"David Frank, Steve Kipner, Pamela Sheyne","David Frank, Steve Kipner"
Georgia on My Mind,,,,,,,
Get Back,,11 April 1969 (1969-04-11),"Rock and roll, blues, rock",3:09 (album version)3:13 (single version),Apple,Lennon–McCartney,"Glyn Johns, and, George Martin, (single version), Phil Spector, (album version)"
Get Busy,,27 January 2003 (2003-01-27),"Dancehall, hip hop",3:32,", VP, 
, Atlantic,","Sean Paul Henriques, Steven ""Lenky"" Marsden",Steven Marsden
Get Down Tonight,,"February 11, 1975","Disco, funk, R&B",3:21 (single version)5:19 (album version),TK,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
Get Off of My Cloud,,"24 September 1965 (1965-09-24) (US)
22 October 1965 (UK)",Blues rock,2:55,", London,  , [, 4, ], 
, Decca,  ,","Jagger–Richards, [, 4, ]","Andrew Loog Oldham, [, 4, ]"
"Get Outta My Dreams, Get into My Car",,18 January 1988,"Dance-pop, R&B","5:36 (album version)
4:43 (single version)",Jive,"Billy Ocean, Robert John ""Mutt"" Lange","Robert John ""Mutt"" Lange"
Gettin' Jiggy wit It,,"January 26, 1998 (1998-01-26)",,3:48,Columbia,"Will Smith, Samuel Barnes, Bernard Edwards, Joe Robinson, Nile Rodgers",Poke & Tone
Ghostbusters (song),,"June 8, 1984","Dance-pop, synth-rock","4:06 (soundtrack version)
3:46 (edit)",Arista,Ray Parker Jr.,Ray Parker Jr.
Girl I'm Gonna Miss You,,1 July 1989,,"3:57 (album version)
4:19 (single version)","Hansa, Arista","Frank Farian, Peter Bischof-Fallenstein, Dietmar Kawohl",Frank Farian
Girlfriend (Avril Lavigne song),,"February 27, 2007 (2007-02-27)","Pop-punk, power pop",3:37,", RCA, 
, Columbia,","Avril Lavigne, Lukasz Gottwald",Dr. Luke
Girls Like You,,"May 31, 2018 (2018-05-31)","Pop, pop rock","3:56 (Cardi B version)
3:35 (album version)",", 222, 
, Interscope,","Adam Levine, Henry Walter, Belcalis Almanzar, Brittany Talia Hazzard, Jason Evigan, Gian Stone","Cirkut, Jason Evigan"
Give It to Me (Timbaland song),,"February 6, 2007 (2007-02-06)","Electro, hip hop, club","3:55 (explicit version)
3:33 (radio edit)",", Mosley, 
, Blackground, 
, Interscope,","Timothy Mosley, Nate Hills, Timothy Clayton, Justin Timberlake, Nelly Furtado",Timbaland
Give Me Everything,,"March 15, 2011 (2011-03-15)","Hip house, pop rap, progressive house, EDM","4:12 (album version without intro start)
4:34 (album version with intro start)
4:02 (radio edit / with outro verse)
3:47 (radio edit / without outro verse)
7:56 (extended vocal mix)",", Polo Grounds, 
, J, 
, Mr. 305,","Armando Pérez, Nick van de Wall, Shaffer Smith","Afrojack, DJ Buddha, (co.)"
Give Me Love (Give Me Peace on Earth),,7 May 1973 (US)25 May 1973 (UK),"Folk rock, gospel",3:36,Apple,George Harrison,George Harrison
Glamorous (Fergie song),,"January 23, 2007 (2007-01-23)","R&B, pop, pop rap",4:08,", A&M, 
, will.i.am, 
, Interscope,","Stacy Ferguson, Jamal Jones, William Adams, Elvis Williams, Christopher Bridges",Polow da Don
Glory of Love,,"June 4, 1986","Soft rock, pop rock","4:26 (Album Version) 
5:02 (Extended Version)",Warner Bros.,"Peter Cetera, David Foster, Diane Nini",Michael Omartian
Go Away Little Girl,,November 1962,Pop,2:12,Columbia,"Gerry Goffin, and, Carole King",
God's Plan (song),,"January 19, 2018 (2018-01-19)","Pop, pop-rap, trap",3:19,", Young Money, 
, Cash Money, 
, Republic,","Aubrey Graham, Ronald LaTour, Banko Jackson, Matthew Samuels, Noah Shebib, Brock Korsan","Cardo, Yung Exclusive, Boi-1da, 40 (addi.)"
Gold Digger (Kanye West song),,"July 5, 2005 (2005-07-05)",Pop rap,3:28,", Roc-A-Fella, 
, Def Jam,","Kanye West, Ray Charles, Renald Richard","Kanye West, Jon Brion"
Gonna Fly Now,,February 1977,Philly soul,2:48,United Artists,"Bill Conti, Carol Connors, Ayn Robbins",Bill Conti
Gonna Make You Sweat (Everybody Dance Now),,"November 18, 1990","Hip house, funk, dance-pop",4:06,Columbia,"Robert Clivillés, Frederick Williams, David Cole",Clivillés and Cole
Good 4 U,,"May 14, 2021","Rock, pop rock, pop-punk, teen pop, emo",2:58,", Geffen, 
, Interscope,","Olivia Rodrigo, Dan Nigro, Hayley Williams, Josh Farro",Dan Nigro
Good Lovin',,1965,Doo-wop,,Loma,"Rudy Clark, Arthur Resnick",Jerry Ragovoy
Good Luck Charm,,"February 27, 1962","Rock and roll, pop",2:27,"RCA Victor, [, 1, ]","Aaron Schroeder, Wally Gold, [, 1, ]","Steve Sholes, [, 1, ]"
Good Thing (Fine Young Cannibals song),,14 April 1989,"Northern soul, pop-soul, R&B",3:24,London,"Roland Gift, David Steele",Fine Young Cannibals
Good Times (Chic song),,"June 4, 1979 (1979-06-04)","Funk, disco","8:08 (LP version)
3:42 (7-inch edit)","Atlantic,","Bernard Edwards, Nile Rodgers","Bernard Edwards, Nile Rodgers"
Good Vibrations,,"October 10, 1966 (1966-10-10)","Progressive pop, psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, R&B, sunshine pop",3:35,Capitol,"Brian Wilson, Mike Love",Brian Wilson
Good Vibrations (Marky Mark and the Funky Bunch song),,"July 16, 1991","Pop-rap, hip house",4:25,Interscope,"Donnie Wahlberg, Mark Wahlberg, Spice",Donnie Wahlberg
Goodies (song),,"June 8, 2004 (2004-06-08)",Crunk&B,3:43,"LaFace, Sho'nuff","Ciara Harris, Sean Garrett, LaMarquis Jefferson, Craig Love, Zachary Wallace, Jonathan ""Lil Jon"" Smith",Lil Jon
Got My Mind Set on You,,"December 8, 1962","Rock, R&B, soul",3:26,Dynamic Sound,Rudy Clark,Hutch Davie
Got to Give It Up,,"March 15, 1977","Funk, disco, soul",11:52 (full-length version)4:12 (single version),Tamla,Marvin Gaye,Art Stewart
Grazing in the Grass,,May 1968,Jazz,2:55,"Uni,",Philemon Hou,Stewart Levine
Grease (song),,May 1978,"Funk, disco, pop",3:21,"RSO, Warner Bros.",Barry Gibb,Gibb-Galuten-Richardson
The Greatest Love of All,,June 1977,"Smooth jazz, R&B, soul","5:32 (full album version)
3:29 (edited single version)",Arista,"Michael Masser, (composition), Linda Creed, (lyrics)",Michael Masser
Green Tambourine,,November 1967 (1967-11),"Bubblegum pop, psychedelic pop, psychedelic rock, raga rock",2:23,Buddah,"Paul Leka, Shelley Pinz",Paul Leka
Grenade (song),,October 2010,"Pop, power pop",3:42,Elektra,"Bruno Mars, Philip Lawrence, Ari Levine, Brody Brown, Claude Kelly, Andrew Wyatt",The Smeezingtons
Grillz,,"November 1, 2005 (2005-11-01)",,4:30,", Universal, 
, Fo' Reel Entertainment, 
, Derrty Ent.,","Cornell Haynes, Jr., Jermaine Mauldin, Ali Jones, Cameron Gipp, James Phillips, Paul Slayton, Beyoncé Knowles, Kelendria Rowland, Tenitra Williams, Garrett Hamler, Rich Harrison",Jermaine Dupri
Groovin',,"April 10, 1967","Blue-eyed soul, baião",2:30,Atlantic,"Felix Cavaliere, Eddie Brigati",The Rascals
A Groovy Kind of Love,,1965,,2:02,Disques Vogue,,
"Gypsys, Tramps & Thieves",,"September 1, 1971","Pop, folk rock",2:36,", Kapp, 
, MCA,",Bob Stone,Snuff Garrett
Half-Breed (song),,"July 23, 1973","Pop rock, folk rock",2:46,MCA,"Al Capps, Mary Dean",Snuff Garrett
Hang On Sloopy,,1964 (1964),R&B,2:53,Atlantic,"Wes Farrell, Bert Berns",
Hangin' Tough (song),,"July 3, 1989","Pop rock, dance rock, funk rock","4:18 (album version)
3:54 (7-inch remix)",Columbia,Maurice Starr,Maurice Starr
Hanky Panky (Tommy James and the Shondells song),,October 1964 (original)May 1966 (re-release),"Garage rock, R&B",2:59,"Snap!, , Roulette","Jeff Barry, Ellie Greenwich",Henry Glover
The Happening (song),,"March 20, 1967",Pop,2:52 (album/single version)3:44 (extended hit mix),"Motown,  , M 1107","Holland–Dozier–Holland, –, DeVol","Brian Holland, Lamont Dozier"
Happy (Pharrell Williams song),,"November 21, 2013 (2013-11-21)","Soul, neo soul, R&B",3:55,", Back Lot Music, 
, i Am Other, 
, Columbia,",Pharrell Williams,Pharrell Williams
The Happy Organ,,1959,"Instrumental rock, R&B",2:06,Clock,"Dave ""Baby"" Cortez, James J. Kriegsmann, Ken Wood",
Happy Together (song),,January 1967 (1967-01),"Pop rock, psychedelic pop, sunshine pop",2:50,White Whale,"Alan Gordon, Garry Bonner",Joe Wissert
A Hard Day's Night (song),,"10 July 1964 (1964-07-10) (UK)
13 July 1964 (US)",Rock,2:34,", Parlophone,  , 
, Capitol,  ,",Lennon–McCartney,George Martin
Hard to Say I'm Sorry,,17 May 1982,Soft rock,"5:06 (album version, with ""Get Away"")
3:42 (single version)","Full Moon, , , Warner Bros.","Peter Cetera, David Foster",David Foster
Harlem Shake (song),,"May 22, 2012 (2012-05-22)","Bass, hip hop, trap, electropop",3:16,"Jeffree's, Mad Decent","Harry Rodriques, Héctor Delgado, Jayson Musson, Kurt Hunte, [, 2, ]",Baauer
Harper Valley PTA,,August 1968,"Country, country pop",3:16,Plantation,"Tom T. Hall, [, 1, ]",Shelby Singleton
Havana (Camila Cabello song),,"August 3, 2017 (2017-08-03)","Pop, Latin","3:37 (album version)
2:53 (no rap/radio edit)",", Epic, 
, Syco,","Camila Cabello, Jeffery Williams, Brittany Hazzard, Pharrell Williams, Adam Feeney, Brian Lee, Ali Tamposi, Andrew Watt, Louis Bell, Kaan Gunesberk",Frank Dukes
Have You Ever Really Loved a Woman?,,"April 4, 1995 (1995-04-04)",Latin rock,4:50,A&M,"Bryan Adams, Michael Kamen, Robert John ""Mutt"" Lange","Bryan Adams, Robert John ""Mutt"" Lange"
Have You Ever?,,"October 6, 1998 (1998-10-06)",Pop,"4:33 (album version)
3:33 (radio edit)",Atlantic,Diane Warren,David Foster
Have You Never Been Mellow (song),,January 1975,"Pop, country, adult contemporary",3:31,", EMI,  , 
, MCA,  ,",John Farrar,John Farrar
He Will Break Your Heart,,August 1960,R&B,2:40,Vee-Jay,"Jerry Butler, Calvin Carter, Curtis Mayfield",
He's a Rebel,,August 1962,Pop,2:31,"Philles, 106",Gene Pitney,Phil Spector
He's So Fine,,"January 1963 (US)February 1963 (CAN)March 1963 (UK)April 12, 1963 (AUS)May 1963 (Germany)",Pop,1:53,Laurie Records,"Ronald Mack, [, 2, ]","Phil Margo, Mitch Margo, Jay Siegal, and, Hank Medress"
Head to Toe (Lisa Lisa and Cult Jam song),,March 1987,"Freestyle, soul",5:03 (Album Version)4:02 (Single/Video Version),Columbia,"Curt Bedeau, Gerry Charles, Hugh L Clarke, Brian George, Lucien George, Paul George",Full Force
Heart of Glass (song),,January 1979 (1979-01),"Disco, new wave, pop, dance-rock","3:22 (US 7"" Version)4:12 (UK 7"" Version)3:54 (Original Album Version)5:50 (12"" ""Disco"" Version, 2nd Album Version)4:33 (""Special Mix"" from The Best of Blondie)",Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman
Heart of Gold (Neil Young song),,January 1972 (U.S.),"Folk rock, country rock, soft rock",3:07,Reprise,Neil Young,"Elliot Mazer, Neil Young, [, 4, ]"
Heartache Tonight,,"September 18, 1979","Hard rock, rock and roll, blues rock",4:25,Asylum,"Don Henley, Glenn Frey, Bob Seger, JD Souther",Bill Szymczyk
Heartaches by the Number,,"August 31, 1959",Country,2:34,Columbia,Harlan Howard,Joe Sherman
Heartbreaker (Mariah Carey song),,"August 23, 1999 (1999-08-23)","Pop, hip hop, R&B",4:47,Columbia,"Mariah Carey, Shawn Carter, Shirley Elliston, Lincoln Chase, Narada Michael Walden, Jeffrey Cohen","Mariah Carey, DJ Clue, Ken “Duro” Ifill"
Heartless (The Weeknd song),,"November 27, 2019 (2019-11-27)","R&B, trap",3:18[2],", XO, 
, Republic,","Abel Tesfaye, Leland Wayne, Carlo Montagnese, Andre Proctor","Metro Boomin, The Weeknd, Illangelo, Dre Moon, (, co., )"
Heat Waves,,29 June 2020 (2020-06-29),"Psychedelic pop, R&B, pop rock",3:58,", Wolf Tone, 
, Polydor, 
, Republic,",Dave Bayley,Dave Bayley
Heaven (Bryan Adams song),,"April 9, 1985",Power pop,4:03,A&M,"Bryan Adams, Jim Vallance","Bob Clearmountain, Bryan Adams"
Heaven Is a Place on Earth,,"September 14, 1987 (1987-09-14)","Power pop, pop rock, synth-rock","4:06 (album version)
3:53 (radio edit/7-inch)
5:59 (The Heavenly version/12-inch)",MCA,"Rick Nowels, Ellen Shipley",Rick Nowels
Hello (Adele song),,23 October 2015 (2015-10-23),Soul,4:56 (album version)4:15 (radio edit),"XL, Columbia","Adele Adkins, Greg Kurstin",Greg Kurstin
Hello (Lionel Richie song),,"February 13, 1984 (1984-02-13)","Pop, quiet storm, soft rock",4:08,Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael"
"Hello, Dolly! (song)",,January 1964,"Traditional pop, Dixieland jazz",2:27,Kapp,Jerry Herman,Michael Kapp
"Hello, Goodbye",,24 November 1967 (1967-11-24),"Pop, psychedelia",3:27,", Parlophone,  , 
, Capitol,  ,",Lennon–McCartney,George Martin
"Hello, I Love You",,"June 11, 1968 (1968-06-11) by Nipper Music Co., Inc.","Rock, pop, pop rock",2:13,Elektra,"The Doors, [, 1, ]",Paul A. Rothchild
"Help Me, Rhonda",,"March 8, 1965",Rock,3:10,Capitol,,Brian Wilson
Help! (song),,19 July 1965 (1965-07-19),Folk rock,2:18,", Parlophone,  , 
, Capitol,  ,",Lennon–McCartney,George Martin
Here Comes the Hotstepper,,1994,"Hip hop, reggae fusion",4:13,Columbia,"Ini Kamoze, Chris Kenner, Kenton Nix, Salaam Remi",Salaam Remi
Here I Go Again,,October 1982,"Hard rock, blues rock",5:09,Liberty,"David Coverdale, Bernie Marsden",Martin Birch
Hero (Mariah Carey song),,"October 18, 1993 (1993-10-18)",Pop,4:17,Columbia,,"Walter Afanasieff, Mariah Carey"
Hey Jude,,26 August 1968,"Rock, pop, pop rock",7:12,Apple,Lennon–McCartney,George Martin
Hey Paula (song),,1962,Pop,2:27,"Le Cam, , Philips,  , Sparton,",Ray Hildebrand,"Major Bill Smith, Marvin ""Smokey"" Montgomery"
Hey There Delilah,,"May 9, 2006","Folk-pop, emo pop, emo",3:52,", Hollywood, 
, Fearless,",Tom Higgenson,"Jay Bolta, Robert Dimonda, Ariel Rechtshaid, Sean O'Keefe"
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,,January 1975,Countrypolitan,3:23,"ABC,  , 12054","Larry Butler, Chips Moman",Chips Moman
Hey Ya!,,"September 9, 2003 (2003-09-09)","Pop, electro, funk, hip hop, neo-soul",3:55,"Arista, BMG",André Benjamin,André 3000
Hey! Baby,,December 1961,Pop,2:27,"LeCam, , Smash, , , CBS,","Margaret Cobb, Bruce Channel","Bruce Channel, Major Bill Smith"
Higher Love,,June 1986,"Soft rock, blues rock, blue-eyed soul","5:51 (album version)
4:14 (single version)","Island,  – IS 288","Steve Winwood, Will Jennings","Russ Titelman, Steve Winwood"
Highest in the Room,,"October 4, 2019 (2019-10-04)",Trap,2:55,", Cactus Jack, 
, Grand Hustle, 
, Epic,","Jacques Webster II, Ozan Yildirim, Nik Frascona, Mike Dean","OZ, Nik D, Dean (, co., )"
The Hills (song),,"May 27, 2015 (2015-05-27)","trap, industrial, electronic",4:02,", XO, 
, Republic,","Abel Tesfaye, Emmanuel Nickerson, Carlo Montagnese, Ahmad Balshe, Tom Raybould, [, 2, ]","Illangelo, Mano"
Hips Don't Lie,,14 February 2006 (2006-02-14),"Latin pop, reggaeton, salsa, cumbia",3:38,Epic,,"Shakira, Jerry Duplessis, Wyclef Jean"
Hiss (song),,"January 26, 2024 (2024-01-26)",Hip hop,3:12,Hot Girl,,"LilJuMadeDaBeat, Bankroll Got It, Shawn ""Source"" Jarrett"
Hit the Road Jack,,August 1961,R&B,2:00,ABC-Paramount,Percy Mayfield,Sid Feller
Hold It Against Me,,"January 10, 2011 (2011-01-10)",Dance-pop,3:49,Jive,"Max Martin, Lukasz Gottwald, Bonnie McKee","Dr. Luke, Max Martin, Billboard"
Hold On (Wilson Phillips song),,"February 27, 1990 (1990-02-27)",Pop,"4:27 (album version)
3:42 (single/video version)",SBK,"Carnie Wilson, Chynna Phillips, Glen Ballard",Glen Ballard
Hold On to the Nights,,"May 3, 1988",Soft rock,5:12 (album version)  4:34 (LP edit)  4:23 (AC edit),EMI,Richard Marx,"Richard Marx, David Cole"
Holding Back the Years,,4 November 1985 (1985-11-04)6 May 1986 (1986-05-06) (re-issue),"Sophisti-pop, soft rock","4:28 (album version)
4:04 (single version)",", Elektra, 
, WEA,","Mick Hucknall, Neil Moss",Stewart Levine
Hollaback Girl,,"March 22, 2005 (2005-03-22)",Hip hop,3:19,Interscope,"Gwen Stefani, Pharrell Williams, Chad Hugo",The Neptunes
Honey (Bobby Goldsboro song),,"February 17, 1968",Country,3:55,United Artists,Bobby Russell,Bob Montgomery
Honey (Mariah Carey song),,"July 29, 1997 (1997-07-29)","R&B, pop, hip hop",5:00,Columbia,,"Sean ""Puffy"" Combs, The Ummah, Stevie J, Mariah Carey"
Honky Tonk Women,,4 July 1969 (1969-07-04),"Hard rock, rock and roll",3:03,", Decca,  , 
, London,  ,",Jagger–Richards,Jimmy Miller
Hooked on a Feeling,,"October 29, 1968","Pop, psychedelia",2:48,Scepter,Mark James,Chips Moman
A Horse with No Name,,"November 12, 1971 (UK)
January 19, 1972 (US)","Folk rock, soft rock, country rock",4:08,Warner Bros.,Dewey Bunnell,Ian Samwell
Hot Child in the City,,"June 12, 1978","Rock, power pop",3:09 (Single Version)3:35 (Album Version),Chrysalis,"Nick Gilder, James McCulloch",Mike Chapman
